item_number,id,professor_issue,action,labels_before,labels_after,question_before,question_after,response_options_before,response_options_after,expected_revision_question_after,expected_revision_options_after
Item100,gold-200-rewritten-100,Also warrants agree_disagree_scale.,Add agree_disagree_scale because agreement categories are used to measure perceived clarity.,negative_wording,negative_wording|agree_disagree_scale,To what extent do you disagree that exam instructions were not unclear?,To what extent do you disagree that exam instructions were not unclear?,"[""Strongly disagree"", ""Somewhat disagree"", ""Neither agree nor disagree"", ""Somewhat agree"", ""Strongly agree""]","[""Strongly disagree"", ""Somewhat disagree"", ""Neither agree nor disagree"", ""Somewhat agree"", ""Strongly agree""]",How clear or unclear were the exam instructions?,"[""Very unclear"", ""Somewhat unclear"", ""Neither clear nor unclear"", ""Somewhat clear"", ""Very clear""]"
Item110,gold-200-rewritten-110,The open/closed mismatch is not sufficiently clear.,Strengthen open_closed_mismatch by pairing an explicit request for an open explanation with closed-only response options.,open_closed_mismatch,open_closed_mismatch,Which privacy improvement would you most like app developers to make? Please explain.,Which privacy improvement would you most like app developers to make? Please explain your answer in your own words.,[],"[""Clearer permission requests"", ""Easier deletion of data"", ""Less third-party sharing"", ""More control over notifications"", ""Other""]",Which privacy improvement would you most like app developers to make?,"[""Clearer permission requests"", ""Easier deletion of data"", ""Less third-party sharing"", ""More control over notifications"", ""Other""]"
Item153,gold-200-rewritten-153,Also warrants missing_scale_labels.,Add missing_scale_labels because the high-resolution numeric options do not define endpoint direction or midpoint meaning.,too_many_scale_points,too_many_scale_points|missing_scale_labels,"Using the 0-to-20 scale, indicate your support or opposition to participatory budgeting in your municipality.","Using the 0-to-20 scale, indicate your support or opposition to participatory budgeting in your municipality.","[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20""]","[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20""]",To what extent do you support or oppose participatory budgeting in your municipality?,"[""Strongly oppose"", ""Somewhat oppose"", ""Neither support nor oppose"", ""Somewhat support"", ""Strongly support""]"
Item154,gold-200-rewritten-154,Also warrants missing_scale_labels.,Add missing_scale_labels because the high-resolution numeric options do not define endpoint direction or midpoint meaning.,too_many_scale_points,too_many_scale_points|missing_scale_labels,"On a 0-to-100 scale, rate your satisfaction with pharmacy opening hours in your area.","On a 0-to-100 scale, rate your satisfaction with pharmacy opening hours in your area.","[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32"", ""33"", ""34"", ""35"", ""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""42"", ""43"", ""44"", ""45"", ""46"", ""47"", ""48"", ""49"", ""50"", ""51"", ""52"", ""53"", ""54"", ""55"", ""56"", ""57"", ""58"", ""59"", ""60"", ""61"", ""62"", ""63"", ""64"", ""65"", ""66"", ""67"", ""68"", ""69"", ""70"", ""71"", ""72"", ""73"", ""74"", ""75"", ""76"", ""77"", ""78"", ""79"", ""80"", ""81"", ""82"", ""83"", ""84"", ""85"", ""86"", ""87"", ""88"", ""89"", ""90"", ""91"", ""92"", ""93"", ""94"", ""95"", ""96"", ""97"", ""98"", ""99"", ""100""]","[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32"", ""33"", ""34"", ""35"", ""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""42"", ""43"", ""44"", ""45"", ""46"", ""47"", ""48"", ""49"", ""50"", ""51"", ""52"", ""53"", ""54"", ""55"", ""56"", ""57"", ""58"", ""59"", ""60"", ""61"", ""62"", ""63"", ""64"", ""65"", ""66"", ""67"", ""68"", ""69"", ""70"", ""71"", ""72"", ""73"", ""74"", ""75"", ""76"", ""77"", ""78"", ""79"", ""80"", ""81"", ""82"", ""83"", ""84"", ""85"", ""86"", ""87"", ""88"", ""89"", ""90"", ""91"", ""92"", ""93"", ""94"", ""95"", ""96"", ""97"", ""98"", ""99"", ""100""]",How satisfied or dissatisfied are you with pharmacy opening hours in your area?,"[""Very dissatisfied"", ""Somewhat dissatisfied"", ""Neither satisfied nor dissatisfied"", ""Somewhat satisfied"", ""Very satisfied""]"
Item155,gold-200-rewritten-155,Also warrants missing_scale_labels.,Add missing_scale_labels because the high-resolution numeric options do not define endpoint direction or midpoint meaning.,too_many_scale_points,too_many_scale_points|missing_scale_labels,Rate your concern about microplastics in local waterways on a 0-to-30 scale.,Rate your concern about microplastics in local waterways on a 0-to-30 scale.,"[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30""]","[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30""]",How concerned are you about microplastics in local waterways?,"[""Not at all concerned"", ""Slightly concerned"", ""Moderately concerned"", ""Very concerned"", ""Extremely concerned""]"
Item156,gold-200-rewritten-156,Also warrants missing_scale_labels.,Add missing_scale_labels because the high-resolution numeric options do not define endpoint direction or midpoint meaning.,too_many_scale_points,too_many_scale_points|missing_scale_labels,How important are digital literacy classes in secondary schools?,How important are digital literacy classes in secondary schools?,"[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15""]","[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15""]",How important or unimportant are digital literacy classes in secondary schools?,"[""Very unimportant"", ""Somewhat unimportant"", ""Neither important nor unimportant"", ""Somewhat important"", ""Very important""]"
Item157,gold-200-rewritten-157,Also warrants missing_scale_labels.,Add missing_scale_labels because the high-resolution numeric options do not define endpoint direction or midpoint meaning.,too_many_scale_points,too_many_scale_points|missing_scale_labels,Choose a number from 0 to 25 to show your satisfaction with bicycle parking near train stations.,Choose a number from 0 to 25 to show your satisfaction with bicycle parking near train stations.,"[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25""]","[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25""]",How satisfied or dissatisfied are you with bicycle parking near train stations?,"[""Very dissatisfied"", ""Somewhat dissatisfied"", ""Neither satisfied nor dissatisfied"", ""Somewhat satisfied"", ""Very satisfied""]"
Item158,gold-200-rewritten-158,Also warrants missing_scale_labels.,Add missing_scale_labels because the high-resolution numeric options do not define endpoint direction or midpoint meaning.,too_many_scale_points,too_many_scale_points|missing_scale_labels,How fair is the allocation of shifts in your workplace?,How fair is the allocation of shifts in your workplace?,"[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32"", ""33"", ""34"", ""35"", ""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""42"", ""43"", ""44"", ""45"", ""46"", ""47"", ""48"", ""49"", ""50""]","[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32"", ""33"", ""34"", ""35"", ""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""42"", ""43"", ""44"", ""45"", ""46"", ""47"", ""48"", ""49"", ""50""]",How fair or unfair is the allocation of shifts in your workplace?,"[""Very unfair"", ""Somewhat unfair"", ""Neither fair nor unfair"", ""Somewhat fair"", ""Very fair"", ""Not applicable""]"
Item159,gold-200-rewritten-159,Also warrants missing_scale_labels.,Add missing_scale_labels because the high-resolution numeric options do not define endpoint direction or midpoint meaning.,too_many_scale_points,too_many_scale_points|missing_scale_labels,Use the 0-to-20 scale to show your trust in cloud storage providers to protect your files.,Use the 0-to-20 scale to show your trust in cloud storage providers to protect your files.,"[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20""]","[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20""]",How much do you trust or distrust cloud storage providers to protect your files?,"[""Strongly distrust"", ""Somewhat distrust"", ""Neither trust nor distrust"", ""Somewhat trust"", ""Strongly trust""]"
Item160,gold-200-rewritten-160,Also warrants missing_scale_labels.,Add missing_scale_labels because the high-resolution numeric options do not define endpoint direction or midpoint meaning.,too_many_scale_points,too_many_scale_points|missing_scale_labels,"For this semester’s exam schedule, choose a number from 0 to 40 to show your satisfaction.","For this semester’s exam schedule, choose a number from 0 to 40 to show your satisfaction.","[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32"", ""33"", ""34"", ""35"", ""36"", ""37"", ""38"", ""39"", ""40""]","[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32"", ""33"", ""34"", ""35"", ""36"", ""37"", ""38"", ""39"", ""40""]",How satisfied or dissatisfied are you with the scheduling of exams this semester?,"[""Very dissatisfied"", ""Somewhat dissatisfied"", ""Neither satisfied nor dissatisfied"", ""Somewhat satisfied"", ""Very satisfied""]"
Item191,gold-200-rewritten-191,Also warrants negative_wording because of “fail”.,Add negative_wording because “fail to report” frames the behavior negatively and complicates yes/no interpretation; revise to neutral categorical statements.,sensitive_topic_direct|social_desirability,sensitive_topic_direct|social_desirability|negative_wording,Honest people report all taxable income. Did you fail to report any taxable income last year?,Honest people report all taxable income. Did you fail to report any taxable income last year?,"[""Yes"", ""No""]","[""Yes"", ""No""]","People’s tax filing situations differ, and you may skip this question. For your most recent tax filing, which statement best describes the taxable income reported?","[""The reported amount included all taxable income"", ""The reported amount included only part of the taxable income"", ""I was not required to file a tax return"", ""Not sure"", ""Prefer not to answer""]"
