gold_id,source_seed_id,known_errors_v3,known_errors_v4,topic,item_format_v3,item_format_v4,difficulty,question_v3,question_v4,expected_revision_question_v3,expected_revision_question_v4,changed_in_v3,changed_in_v4,v4_change_reason
gold-200-rewritten-016,candidate-v1-clean-0036,,,public services,categorical_closed_ended,categorical_closed_ended,obvious,Which channel would you prefer for renewing official documents such as residence certificates or permits?,Which channel would you prefer for renewing official documents such as residence certificates or permits?,Which channel would you prefer for renewing official documents such as residence certificates or permits?,Which channel would you prefer for renewing official documents such as residence certificates or permits?,False,False,
gold-200-rewritten-017,candidate-v1-clean-0105,,,environment,ordinal_categories,ordinal_categories,realistic,Please rate your concern about the effects of summer heat in your local neighborhood.,Please rate your concern about the effects of summer heat in your local neighborhood.,Please rate your concern about the effects of summer heat in your local neighborhood.,Please rate your concern about the effects of summer heat in your local neighborhood.,False,False,
gold-200-rewritten-018,candidate-v1-clean-0044,,,health,open_ended,open_ended,borderline,"What is the main reason you have missed or postponed a preventive health appointment, if this has happened to you?","What is the main reason you have missed or postponed a preventive health appointment, if this has happened to you?","What is the main reason you have missed or postponed a preventive health appointment, if this has happened to you?","What is the main reason you have missed or postponed a preventive health appointment, if this has happened to you?",False,False,
gold-200-rewritten-019,candidate-v1-clean-0020,,,technology,binary_yes_no,binary_yes_no,obvious,Do you currently use two-factor authentication for at least one important online account?,Do you currently use two-factor authentication for at least one important online account?,Do you currently use two-factor authentication for at least one important online account?,Do you currently use two-factor authentication for at least one important online account?,False,False,
gold-200-rewritten-020,candidate-v1-clean-0027,,,mobility,categorical_closed_ended,categorical_closed_ended,realistic,"Which mode of transport do you use most often for travel to work, university, or training?","Which mode of transport do you use most often for travel to work, university, or training?","Which mode of transport do you use most often for travel to work, university, or training?","Which mode of transport do you use most often for travel to work, university, or training?",False,False,
gold-200-rewritten-021,candidate-v1-clean-0069,,,work,ordinal_categories,ordinal_categories,borderline,How satisfied or dissatisfied are you with how clearly your supervisor communicates work priorities?,How satisfied or dissatisfied are you with how clearly your supervisor communicates work priorities?,How satisfied or dissatisfied are you with how clearly your supervisor communicates work priorities?,How satisfied or dissatisfied are you with how clearly your supervisor communicates work priorities?,False,False,
gold-200-rewritten-022,candidate-v1-clean-0009,,,finances,categorical_closed_ended,categorical_closed_ended,obvious,Could your household cover an unexpected expense of 500 euros within one month?,Could your household cover an unexpected expense of 500 euros within one month?,Could your household cover an unexpected expense of 500 euros within one month?,Could your household cover an unexpected expense of 500 euros within one month?,False,False,
gold-200-rewritten-023,candidate-v1-clean-0042,,,family/household,ordinal_categories,ordinal_categories,realistic,How fair or unfair do you consider the current division of routine household tasks in your household?,How fair or unfair do you consider the current division of routine household tasks in your household?,How fair or unfair do you consider the current division of routine household tasks in your household?,How fair or unfair do you consider the current division of routine household tasks in your household?,False,False,
gold-200-rewritten-024,candidate-v1-clean-0019,,,media/culture,numeric_ranges,numeric_ranges,borderline,"During the last 3 months, how many times did you attend a cultural event such as a concert, exhibition, or theater performance?","During the last 3 months, how many times did you attend a cultural event such as a concert, exhibition, or theater performance?","During the last 3 months, how many times did you attend a cultural event such as a concert, exhibition, or theater performance?","During the last 3 months, how many times did you attend a cultural event such as a concert, exhibition, or theater performance?",False,False,
gold-200-rewritten-025,candidate-v1-clean-0029,,,politics/public policy,ordinal_categories,ordinal_categories,obvious,How useful do you find public consultation processes for informing local policy decisions?,How useful do you find public consultation processes for informing local policy decisions?,How useful do you find public consultation processes for informing local policy decisions?,How useful do you find public consultation processes for informing local policy decisions?,False,False,
gold-200-rewritten-026,candidate-v1-clean-0083,,,sensitive behaviors,binary_yes_no,binary_yes_no,realistic,"This question is optional. In the past year, did you use prescription medication that was not prescribed to you?","This question is optional. In the past year, did you use prescription medication that was not prescribed to you?","This question is optional. In the past year, did you use prescription medication that was not prescribed to you?","This question is optional. In the past year, did you use prescription medication that was not prescribed to you?",False,False,
gold-200-rewritten-027,candidate-v1-clean-0022,,,university life,frequency,frequency,borderline,"For courses this semester, how often did you receive feedback on assignments before the next related deadline?","For assignments submitted this semester, for what proportion did you receive feedback before the next related deadline?","For courses this semester, how often did you receive feedback on assignments before the next related deadline?","For assignments submitted this semester, for what proportion did you receive feedback before the next related deadline?",False,True,Ask for a defined proportion rather than using vague frequency words.
gold-200-rewritten-028,candidate-v1-clean-0150,,,labor,ordinal_categories,ordinal_categories,obvious,How fair or unfair do you consider the promotion criteria used in your current or most recent workplace?,How fair or unfair do you consider the promotion criteria used in your current or most recent workplace?,How fair or unfair do you consider the promotion criteria used in your current or most recent workplace?,How fair or unfair do you consider the promotion criteria used in your current or most recent workplace?,False,False,
gold-200-rewritten-029,candidate-v1-clean-0004,,,health,categorical_closed_ended,categorical_closed_ended,realistic,Where would you first look for information about vaccination appointments?,Where would you first look for information about vaccination appointments?,Where would you first look for information about vaccination appointments?,Where would you first look for information about vaccination appointments?,False,False,
gold-200-rewritten-030,candidate-v1-clean-0016,,,technology,frequency,frequency,borderline,"In the last 6 months, how often did you review permissions granted to apps on your phone?","In the last 6 months, how often did you review permissions granted to apps on your phone?","In the last 6 months, how often did you review permissions granted to apps on your phone?","In the last 6 months, how often did you review permissions granted to apps on your phone?",False,False,
gold-200-rewritten-031,candidate-v1-clean-0096,,,education,ordinal_categories,ordinal_categories,obvious,How important or unimportant do you think reducing class sizes is for improving classroom learning?,How important or unimportant do you think reducing class sizes is for improving classroom learning?,How important or unimportant do you think reducing class sizes is for improving classroom learning?,How important or unimportant do you think reducing class sizes is for improving classroom learning?,False,False,
gold-200-rewritten-032,candidate-v1-clean-0046,,,environment,support_oppose,support_oppose,realistic,Do you support or oppose introducing separate food-waste collection in your municipality?,Do you support or oppose introducing separate food-waste collection in your municipality?,Do you support or oppose introducing separate food-waste collection in your municipality?,Do you support or oppose introducing separate food-waste collection in your municipality?,False,False,
gold-200-rewritten-033,candidate-v1-clean-0017,,,public services,binary_yes_no,binary_yes_no,borderline,"In the past 12 months, have you used a municipal online portal to request a service or submit a document?","In the past 12 months, have you used a municipal online portal to request a service or submit a document?","In the past 12 months, have you used a municipal online portal to request a service or submit a document?","In the past 12 months, have you used a municipal online portal to request a service or submit a document?",False,False,
gold-200-rewritten-034,candidate-v1-clean-0053,,,work,open_ended,open_ended,obvious,What is the main factor you consider when deciding whether to work remotely on a given day?,What is the main factor you consider when deciding whether to work remotely on a given day?,What is the main factor you consider when deciding whether to work remotely on a given day?,What is the main factor you consider when deciding whether to work remotely on a given day?,False,False,
gold-200-rewritten-035,candidate-v1-clean-0186,,,family/household,ordinal_categories,ordinal_categories,realistic,How well does your current home meet your household’s need for space?,How well does your current home meet your household’s need for space?,How well does your current home meet your household’s need for space?,How well does your current home meet your household’s need for space?,False,False,
gold-200-rewritten-036,candidate-v1-clean-0123,,,media/culture,ordinal_categories,ordinal_categories,borderline,How much do you trust public broadcasters for information about local events?,How much do you trust public broadcasters for information about local events?,How much do you trust public broadcasters for information about local events?,How much do you trust public broadcasters for information about local events?,False,False,
gold-200-rewritten-037,candidate-v1-clean-0173,,,politics/public policy,binary_yes_no,binary_yes_no,obvious,"In the previous year, did you participate in any public consultation, such as an online survey, town hall, or written comment process?","In the previous year, did you participate in any public consultation, such as an online survey, town hall, or written comment process?","In the previous year, did you participate in any public consultation, such as an online survey, town hall, or written comment process?","In the previous year, did you participate in any public consultation, such as an online survey, town hall, or written comment process?",False,False,
gold-200-rewritten-038,candidate-v1-clean-0026,,,university life,open_ended,open_ended,realistic,What is the main reason you last contacted an academic advising service?,What is the main reason you last contacted an academic advising service?,What is the main reason you last contacted an academic advising service?,What is the main reason you last contacted an academic advising service?,False,False,
gold-200-rewritten-039,candidate-v1-clean-0045,,,finances,categorical_closed_ended,categorical_closed_ended,borderline,How would you prefer to receive utility bills?,How would you prefer to receive utility bills?,How would you prefer to receive utility bills?,How would you prefer to receive utility bills?,False,False,
gold-200-rewritten-040,candidate-v1-clean-0014,,,sensitive behaviors,frequency,frequency,obvious,"Some people prefer not to answer questions about gambling. During the last 12 months, how often did you gamble with money?","Some people prefer not to answer questions about gambling. During the last 12 months, how many times did you gamble with money?","Some people prefer not to answer questions about gambling. During the last 12 months, how often did you gamble with money?","Some people prefer not to answer questions about gambling. During the last 12 months, how many times did you gamble with money?",False,True,Use count categories consistently rather than mixing event counts with “Monthly or more often”.
gold-200-rewritten-041,candidate-v1-single-leading-question-013,leading_question,leading_question,environment,binary_yes_no,binary_yes_no,realistic,"Because safer routes clearly help children get to school, should the city add protected bike lanes near school entrances?","Because safer routes clearly help children get to school, should the city add protected bike lanes near school entrances?",To what extent do you support or oppose adding protected bike lanes near school entrances?,To what extent do you support or oppose adding protected bike lanes near school entrances?,False,False,
gold-200-rewritten-042,candidate-v1-single-leading-question-023,leading_question,leading_question,public services,binary_yes_no,binary_yes_no,borderline,Most busy residents would benefit from evening service-office hours; do you think the municipality should offer them?,Most busy residents would benefit from evening service-office hours; do you think the municipality should offer them?,To what extent do you support or oppose offering evening hours at municipal service offices?,To what extent do you support or oppose offering evening hours at municipal service offices?,False,False,
gold-200-rewritten-043,candidate-v1-single-leading-question-011,leading_question,leading_question,technology,binary_yes_no,binary_yes_no,obvious,Wouldn’t you agree that student apps should have privacy-protective settings turned on by default?,Wouldn’t you agree that student apps should have privacy-protective settings turned on by default?,To what extent do you support or oppose privacy-protective default settings in student apps?,To what extent do you support or oppose privacy-protective default settings in student apps?,False,False,
gold-200-rewritten-044,candidate-v1-single-leading-question-003,leading_question,leading_question,health,binary_yes_no,binary_yes_no,realistic,"Given the importance of mental health, should universities provide free drop-in counseling hours every week?","Given the importance of mental health, should universities provide free drop-in counseling hours every week?",To what extent do you support or oppose universities providing free weekly drop-in counseling hours?,To what extent do you support or oppose universities providing free weekly drop-in counseling hours?,False,False,
gold-200-rewritten-045,candidate-v1-single-leading-question-007,leading_question,leading_question,labor,binary_yes_no,binary_yes_no,borderline,Isn’t it only fair that employers give workers at least two weeks’ notice before changing shifts?,Isn’t it only fair that employers give workers at least two weeks’ notice before changing shifts?,To what extent do you support or oppose requiring employers to give at least two weeks’ notice before changing shifts?,To what extent do you support or oppose requiring employers to give at least two weeks’ notice before changing shifts?,False,False,
gold-200-rewritten-046,candidate-v1-single-leading-question-019,leading_question,leading_question,media/culture,binary_yes_no,binary_yes_no,obvious,"Since local arts venues bring communities together, should public funds be used to support them?","Since local arts venues bring communities together, should public funds be used to support them?",To what extent do you support or oppose using public funds to support local arts venues?,To what extent do you support or oppose using public funds to support local arts venues?,False,False,
gold-200-rewritten-047,candidate-v1-single-leading-question-009,leading_question,leading_question,finances,binary_yes_no,binary_yes_no,realistic,Don’t you think banks should obviously warn customers before charging overdraft fees?,Don’t you think banks should obviously warn customers before charging overdraft fees?,To what extent do you support or oppose requiring banks to send reminders before charging overdraft fees?,To what extent do you support or oppose requiring banks to send reminders before charging overdraft fees?,False,False,
gold-200-rewritten-048,candidate-v1-single-leading-question-021,leading_question,leading_question,university life,binary_yes_no,binary_yes_no,borderline,Students clearly need more study time during exams; should the library stay open later?,Students clearly need more study time during exams; should the library stay open later?,To what extent do you support or oppose extending library opening hours during exam periods?,To what extent do you support or oppose extending library opening hours during exam periods?,False,False,
gold-200-rewritten-049,candidate-v1-single-loaded-question-001,loaded_question,loaded_question,finances,ordinal_categories,ordinal_categories,obvious,How much did the bank's hidden account fees reduce the money you had available for monthly expenses?,How much did the bank's hidden account fees reduce the money you had available for monthly expenses?,"During the last 12 months, how much did account fees, if any, affect the money you had available for monthly expenses?","During the last 12 months, how much did account fees, if any, affect the money you had available for monthly expenses?",True,False,
gold-200-rewritten-050,candidate-v1-single-loaded-question-002,loaded_question,loaded_question,university life,open_ended,open_ended,realistic,In what ways did the confusing course registration portal make it harder for you to plan this semester?,In what ways did the confusing course registration portal make it harder for you to plan this semester?,"In what ways, if any, did the course registration portal affect your ability to plan this semester?","In what ways, if any, did the course registration portal affect your ability to plan this semester?",True,False,
gold-200-rewritten-051,candidate-v1-single-loaded-question-004,loaded_question,loaded_question,technology,frequency,frequency,borderline,"During the last month, how often did the campus app's recurring login problems prevent you from accessing university services?","During the last month, how often did the campus app's recurring login problems prevent you from accessing university services?","During the last month, how often, if at all, did login problems with the campus app prevent you from accessing university services?","During the last month, how often, if at all, did login problems with the campus app prevent you from accessing university services?",True,False,
gold-200-rewritten-052,candidate-v1-single-loaded-question-007,loaded_question,loaded_question,labor,numeric_ranges,numeric_ranges,obvious,"Last month, how much extra time did the poorly organized shift-scheduling system create for you?","Last month, how much extra time did the poorly organized shift-scheduling system create for you?","Last month, how much extra time, if any, did the shift-scheduling system create for you?","Last month, how much extra time, if any, did the shift-scheduling system create for you?",True,False,
gold-200-rewritten-053,candidate-v1-single-loaded-question-006,loaded_question,loaded_question,family/household,categorical_closed_ended,categorical_closed_ended,realistic,"Which household task, if any, was most affected by your building's unreliable maintenance service this winter?","Which household task, if any, was most affected by your building's unreliable maintenance service this winter?","This winter, did building maintenance service affect any household task? If yes, which task was most affected?","This winter, did building maintenance service affect any household task? If yes, which task was most affected?",True,False,
gold-200-rewritten-054,candidate-v1-single-loaded-question-003,loaded_question,loaded_question,mobility,ordinal_categories,ordinal_categories,borderline,What effect did the city's poorly timed roadworks have on your usual commute last week?,What effect did the city's poorly timed roadworks have on your usual commute last week?,"Last week, what effect, if any, did the city's roadworks have on your usual commute?","Last week, what effect, if any, did the city's roadworks have on your usual commute?",True,False,
gold-200-rewritten-055,candidate-v1-single-loaded-question-009,loaded_question,loaded_question,politics/public policy,support_oppose,support_oppose,obvious,Do you support or oppose reducing the city's excessive spending on decorative public signs?,Do you support or oppose reducing the city's excessive spending on decorative public signs?,Do you support or oppose reducing city spending on decorative public signs?,Do you support or oppose reducing city spending on decorative public signs?,True,False,
gold-200-rewritten-056,candidate-v1-single-loaded-question-005,loaded_question,loaded_question,health,binary_yes_no,binary_yes_no,realistic,"This year, did the clinic's confusing appointment reminders cause you to miss or reschedule an appointment?","This year, did the clinic's confusing appointment reminders cause you to miss or reschedule an appointment?","This year, did appointment reminders from a clinic cause you to miss or reschedule an appointment?","This year, did appointment reminders from a clinic cause you to miss or reschedule an appointment?",True,False,
gold-200-rewritten-057,candidate-v1-single-double-barreled-001,double_barreled,double_barreled,public services,ordinal_categories,ordinal_categories,borderline,Please rate your satisfaction with the clarity of municipal forms and the waiting time for appointments at the service office.,Please rate your satisfaction with the clarity of municipal forms and the waiting time for appointments at the service office.,How satisfied or dissatisfied are you with the clarity of municipal forms?,How satisfied or dissatisfied are you with the clarity of municipal forms?,False,False,
gold-200-rewritten-058,candidate-v1-single-double-barreled-002,double_barreled,double_barreled,mobility,ordinal_categories,ordinal_categories,obvious,How would you rate the punctuality of buses and the affordability of ticket prices in your area?,How would you rate the punctuality of buses and the affordability of ticket prices in your area?,How would you rate the punctuality of buses in your area?,How would you rate the punctuality of buses in your area?,False,False,
gold-200-rewritten-059,candidate-v1-single-double-barreled-003,double_barreled,double_barreled,health,ordinal_categories,ordinal_categories,realistic,"When seeking care, how satisfied are you with appointment availability and how clearly doctors explain treatments?","When seeking care, how satisfied are you with appointment availability and how clearly doctors explain treatments?",How satisfied or dissatisfied are you with how easy it is to get a doctor appointment?,How satisfied or dissatisfied are you with how easy it is to get a doctor appointment?,False,False,
gold-200-rewritten-060,candidate-v1-single-double-barreled-008,double_barreled,double_barreled,university life,ordinal_categories,ordinal_categories,borderline,"When using the university online platform, how much do you trust it to protect your data and be easy to use?","When using the university online platform, how much do you trust it to protect your data and be easy to use?",How much do you trust the university online platform to protect your data?,How much do you trust the university online platform to protect your data?,False,False,
gold-200-rewritten-061,candidate-v1-single-double-barreled-010,double_barreled,double_barreled,family/household,ordinal_categories,ordinal_categories,obvious,"In your household, how fair is the division of routine chores and childcare responsibilities?","In your household, how fair is the division of routine chores and childcare responsibilities?",How fair or unfair is the division of routine household chores in your household?,How fair or unfair is the division of routine household chores in your household?,False,False,
gold-200-rewritten-062,candidate-v1-single-double-barreled-005,double_barreled,double_barreled,labor,ordinal_categories,ordinal_categories,realistic,"Overall, how satisfied are you with your pay and your ability to adjust your work schedule?","Overall, how satisfied are you with your pay and your ability to adjust your work schedule?",How satisfied or dissatisfied are you with your pay?,How satisfied or dissatisfied are you with your pay?,False,False,
gold-200-rewritten-063,candidate-v1-single-double-barreled-009,double_barreled,double_barreled,environment,ordinal_categories,ordinal_categories,borderline,Please rate your concern about air quality and noise levels in your neighborhood.,Please rate your concern about air quality and noise levels in your neighborhood.,How concerned are you about air quality in your neighborhood?,How concerned are you about air quality in your neighborhood?,False,False,
gold-200-rewritten-064,candidate-v1-single-double-barreled-012,double_barreled,double_barreled,university life,ordinal_categories,ordinal_categories,obvious,How would you rate the quality of teaching and the affordability of cafeteria meals this semester?,How would you rate the quality of teaching and the affordability of cafeteria meals this semester?,How would you rate the quality of teaching this semester?,How would you rate the quality of teaching this semester?,False,False,
gold-200-rewritten-065,candidate-v1-single-recall-error-001,recall_error,recall_error,media/culture,frequency,frequency,realistic,"Over the last 12 months, how many times did you check online listings for local events?","Over the last 12 months, how many times did you check online listings for local events?","In the past 30 days, how often did you check online listings for local events?","In the past 30 days, how often did you check online listings for local events?",False,False,
gold-200-rewritten-066,candidate-v1-single-recall-error-002,recall_error,recall_error,mobility,frequency,frequency,borderline,"During the last year, how many individual trips did you make by bicycle?","During the last year, how many individual trips did you make by bicycle?","In the past 7 days, how many trips did you make by bicycle?","In the past 7 days, how many trips did you make by bicycle?",False,False,
gold-200-rewritten-067,candidate-v1-single-recall-error-003,recall_error,recall_error,health,frequency,frequency,obvious,"In the past 12 months, on how many days did you eat vegetables?","In the past 12 months, on how many days did you eat vegetables?","In the past 7 days, on how many days did you eat vegetables?","In the past 7 days, on how many days did you eat vegetables?",False,False,
gold-200-rewritten-068,candidate-v1-single-recall-error-008,recall_error,recall_error,technology,frequency,frequency,realistic,"Thinking about the last 12 months, how many times did you dismiss notifications on your phone without reading them?","Thinking about the last 12 months, how many times did you dismiss notifications on your phone without reading them?","Yesterday, about how often did you dismiss phone notifications without reading them?","Yesterday, about how often did you dismiss phone notifications without reading them?",False,False,
gold-200-rewritten-069,candidate-v1-single-recall-error-005,recall_error,recall_error,work,frequency,frequency,borderline,"Thinking back over the previous year, how many evenings did you check work messages after your scheduled hours?","Thinking back over the previous year, how many evenings did you check work messages after your scheduled hours?","During the past 14 days, on how many evenings did you check work messages after your scheduled hours?","During the past 14 days, on how many evenings did you check work messages after your scheduled hours?",False,False,
gold-200-rewritten-070,candidate-v1-single-recall-error-004,recall_error,recall_error,education,frequency,frequency,obvious,"Since the beginning of the academic year, how many times have you reviewed lecture notes after class?","Since the beginning of the academic year, how many times have you reviewed lecture notes after class?","During the last 2 weeks of classes, how often did you review lecture notes after class?","During the last 2 weeks of classes, how often did you review lecture notes after class?",False,False,
gold-200-rewritten-071,candidate-v1-single-recall-error-012,recall_error,recall_error,public services,frequency,frequency,realistic,"Over the past 12 months, how many times did you visit a municipal website to look for information?","Over the past 12 months, how many times did you visit a municipal website to look for information?","In the past 3 months, how often did you visit a municipal website to look for information?","In the past 3 months, how often did you visit a municipal website to look for information?",False,False,
gold-200-rewritten-072,candidate-v1-single-recall-error-007,recall_error,recall_error,finances,frequency,frequency,borderline,"In the last year, how many times did you check the balance of your main bank account?","In the last year, how many times did you check the balance of your main bank account?","In the past 7 days, how often did you check the balance of your main bank account?","In the past 7 days, how often did you check the balance of your main bank account?",False,False,
gold-200-rewritten-073,candidate-v1-single-vague-ambiguous-001,vague_ambiguous,vague_ambiguous,public services,ordinal_categories,ordinal_categories,obvious,How good is the city’s help for people who need housing support?,How good is the city’s help for people who need housing support?,How clear or unclear was the eligibility information for housing support on the city website the last time you looked for it?,How clear or unclear was the eligibility information for housing support on the city website the last time you looked for it?,False,False,
gold-200-rewritten-074,candidate-v1-single-vague-ambiguous-003,vague_ambiguous,vague_ambiguous,health,ordinal_categories,ordinal_categories,realistic,Do you have enough access to mental health support?,Do you have enough access to mental health support?,How easy or difficult would it be for you to arrange an appointment with a mental health professional within the next 4 weeks?,How easy or difficult would it be for you to arrange an appointment with a mental health professional within the next 4 weeks?,False,False,
gold-200-rewritten-075,candidate-v1-single-vague-ambiguous-008,vague_ambiguous,vague_ambiguous,university life,ordinal_categories,ordinal_categories,borderline,How is the Wi-Fi these days?,How is the Wi-Fi these days?,"During the last 2 weeks on campus, how satisfied or dissatisfied were you with the reliability of the Wi-Fi connection?","During the last 2 weeks on campus, how satisfied or dissatisfied were you with the reliability of the Wi-Fi connection?",False,False,
gold-200-rewritten-076,candidate-v1-single-vague-ambiguous-005,vague_ambiguous,vague_ambiguous,work,ordinal_categories,ordinal_categories,obvious,Is your work-life balance okay?,Is your work-life balance okay?,"During the last 4 weeks, how satisfied or dissatisfied were you with the amount of time left for personal life after work?","During the last 4 weeks, how satisfied or dissatisfied were you with the amount of time left for personal life after work?",False,False,
gold-200-rewritten-077,candidate-v1-single-vague-ambiguous-009,vague_ambiguous,vague_ambiguous,environment,ordinal_categories,ordinal_categories,realistic,What do you think about green spaces around here?,What do you think about green spaces around here?,How satisfied or dissatisfied are you with the availability of public green spaces within walking distance of your home?,How satisfied or dissatisfied are you with the availability of public green spaces within walking distance of your home?,False,False,
gold-200-rewritten-078,candidate-v1-single-vague-ambiguous-004,vague_ambiguous,vague_ambiguous,education,ordinal_categories,ordinal_categories,borderline,Was academic support useful?,Was academic support useful?,How useful or not useful was academic support for understanding course requirements this semester?,How useful or not useful was academic support for understanding course requirements this semester?,False,False,
gold-200-rewritten-079,candidate-v1-single-vague-ambiguous-010,vague_ambiguous,vague_ambiguous,family/household,ordinal_categories,ordinal_categories,obvious,Are childcare options in your area good?,Are childcare options in your area good?,How satisfied or dissatisfied are you with the availability of childcare options within 30 minutes of your home?,How satisfied or dissatisfied are you with the availability of childcare options within 30 minutes of your home?,False,False,
