gold_id,source_seed_id,known_errors,topic,item_format,difficulty,question,expected_revision_question,changed_in_v3,v3_change_reason
gold-200-rewritten-051,candidate-v1-single-loaded-question-004,loaded_question,technology,frequency,borderline,"During the last month, how often did the campus app's recurring login problems prevent you from accessing university services?","During the last month, how often, if at all, did login problems with the campus app prevent you from accessing university services?",True,"loaded_question purity: remove incomplete-options contamination by making the loaded premise stem-based and adding neutral, no-event, open, or balanced response paths."
gold-200-rewritten-052,candidate-v1-single-loaded-question-007,loaded_question,labor,numeric_ranges,obvious,"Last month, how much extra time did the poorly organized shift-scheduling system create for you?","Last month, how much extra time, if any, did the shift-scheduling system create for you?",True,"loaded_question purity: remove incomplete-options contamination by making the loaded premise stem-based and adding neutral, no-event, open, or balanced response paths."
gold-200-rewritten-053,candidate-v1-single-loaded-question-006,loaded_question,family/household,categorical_closed_ended,realistic,"Which household task, if any, was most affected by your building's unreliable maintenance service this winter?","This winter, did building maintenance service affect any household task? If yes, which task was most affected?",True,"loaded_question purity: remove incomplete-options contamination by making the loaded premise stem-based and adding neutral, no-event, open, or balanced response paths."
gold-200-rewritten-054,candidate-v1-single-loaded-question-003,loaded_question,mobility,ordinal_categories,borderline,What effect did the city's poorly timed roadworks have on your usual commute last week?,"Last week, what effect, if any, did the city's roadworks have on your usual commute?",True,"loaded_question purity: remove incomplete-options contamination by making the loaded premise stem-based and adding neutral, no-event, open, or balanced response paths."
gold-200-rewritten-055,candidate-v1-single-loaded-question-009,loaded_question,politics/public policy,support_oppose,obvious,Do you support or oppose reducing the city's excessive spending on decorative public signs?,Do you support or oppose reducing city spending on decorative public signs?,True,"loaded_question purity: remove incomplete-options contamination by making the loaded premise stem-based and adding neutral, no-event, open, or balanced response paths."
gold-200-rewritten-056,candidate-v1-single-loaded-question-005,loaded_question,health,binary_yes_no,realistic,"This year, did the clinic's confusing appointment reminders cause you to miss or reschedule an appointment?","This year, did appointment reminders from a clinic cause you to miss or reschedule an appointment?",True,"loaded_question purity: remove incomplete-options contamination by making the loaded premise stem-based and adding neutral, no-event, open, or balanced response paths."
gold-200-rewritten-057,candidate-v1-single-double-barreled-001,double_barreled,public services,ordinal_categories,borderline,Please rate your satisfaction with the clarity of municipal forms and the waiting time for appointments at the service office.,How satisfied or dissatisfied are you with the clarity of municipal forms?,False,
gold-200-rewritten-058,candidate-v1-single-double-barreled-002,double_barreled,mobility,ordinal_categories,obvious,How would you rate the punctuality of buses and the affordability of ticket prices in your area?,How would you rate the punctuality of buses in your area?,False,
gold-200-rewritten-059,candidate-v1-single-double-barreled-003,double_barreled,health,ordinal_categories,realistic,"When seeking care, how satisfied are you with appointment availability and how clearly doctors explain treatments?",How satisfied or dissatisfied are you with how easy it is to get a doctor appointment?,False,
gold-200-rewritten-060,candidate-v1-single-double-barreled-008,double_barreled,university life,ordinal_categories,borderline,"When using the university online platform, how much do you trust it to protect your data and be easy to use?",How much do you trust the university online platform to protect your data?,False,
gold-200-rewritten-061,candidate-v1-single-double-barreled-010,double_barreled,family/household,ordinal_categories,obvious,"In your household, how fair is the division of routine chores and childcare responsibilities?",How fair or unfair is the division of routine household chores in your household?,False,
gold-200-rewritten-062,candidate-v1-single-double-barreled-005,double_barreled,labor,ordinal_categories,realistic,"Overall, how satisfied are you with your pay and your ability to adjust your work schedule?",How satisfied or dissatisfied are you with your pay?,False,
gold-200-rewritten-063,candidate-v1-single-double-barreled-009,double_barreled,environment,ordinal_categories,borderline,Please rate your concern about air quality and noise levels in your neighborhood.,How concerned are you about air quality in your neighborhood?,False,
gold-200-rewritten-064,candidate-v1-single-double-barreled-012,double_barreled,university life,ordinal_categories,obvious,How would you rate the quality of teaching and the affordability of cafeteria meals this semester?,How would you rate the quality of teaching this semester?,False,
gold-200-rewritten-065,candidate-v1-single-recall-error-001,recall_error,media/culture,frequency,realistic,"Over the last 12 months, how many times did you check online listings for local events?","In the past 30 days, how often did you check online listings for local events?",False,
gold-200-rewritten-066,candidate-v1-single-recall-error-002,recall_error,mobility,frequency,borderline,"During the last year, how many individual trips did you make by bicycle?","In the past 7 days, how many trips did you make by bicycle?",False,
gold-200-rewritten-067,candidate-v1-single-recall-error-003,recall_error,health,frequency,obvious,"In the past 12 months, on how many days did you eat vegetables?","In the past 7 days, on how many days did you eat vegetables?",False,
gold-200-rewritten-068,candidate-v1-single-recall-error-008,recall_error,technology,frequency,realistic,"Thinking about the last 12 months, how many times did you dismiss notifications on your phone without reading them?","Yesterday, about how often did you dismiss phone notifications without reading them?",False,
gold-200-rewritten-069,candidate-v1-single-recall-error-005,recall_error,work,frequency,borderline,"Thinking back over the previous year, how many evenings did you check work messages after your scheduled hours?","During the past 14 days, on how many evenings did you check work messages after your scheduled hours?",False,
gold-200-rewritten-070,candidate-v1-single-recall-error-004,recall_error,education,frequency,obvious,"Since the beginning of the academic year, how many times have you reviewed lecture notes after class?","During the last 2 weeks of classes, how often did you review lecture notes after class?",False,
gold-200-rewritten-071,candidate-v1-single-recall-error-012,recall_error,public services,frequency,realistic,"Over the past 12 months, how many times did you visit a municipal website to look for information?","In the past 3 months, how often did you visit a municipal website to look for information?",False,
gold-200-rewritten-072,candidate-v1-single-recall-error-007,recall_error,finances,frequency,borderline,"In the last year, how many times did you check the balance of your main bank account?","In the past 7 days, how often did you check the balance of your main bank account?",False,
gold-200-rewritten-073,candidate-v1-single-vague-ambiguous-001,vague_ambiguous,public services,ordinal_categories,obvious,How good is the city’s help for people who need housing support?,How clear or unclear was the eligibility information for housing support on the city website the last time you looked for it?,False,
gold-200-rewritten-074,candidate-v1-single-vague-ambiguous-003,vague_ambiguous,health,ordinal_categories,realistic,Do you have enough access to mental health support?,How easy or difficult would it be for you to arrange an appointment with a mental health professional within the next 4 weeks?,False,
gold-200-rewritten-075,candidate-v1-single-vague-ambiguous-008,vague_ambiguous,university life,ordinal_categories,borderline,How is the Wi-Fi these days?,"During the last 2 weeks on campus, how satisfied or dissatisfied were you with the reliability of the Wi-Fi connection?",False,
gold-200-rewritten-076,candidate-v1-single-vague-ambiguous-005,vague_ambiguous,work,ordinal_categories,obvious,Is your work-life balance okay?,"During the last 4 weeks, how satisfied or dissatisfied were you with the amount of time left for personal life after work?",False,
gold-200-rewritten-077,candidate-v1-single-vague-ambiguous-009,vague_ambiguous,environment,ordinal_categories,realistic,What do you think about green spaces around here?,How satisfied or dissatisfied are you with the availability of public green spaces within walking distance of your home?,False,
gold-200-rewritten-078,candidate-v1-single-vague-ambiguous-004,vague_ambiguous,education,ordinal_categories,borderline,Was academic support useful?,How useful or not useful was academic support for understanding course requirements this semester?,False,
gold-200-rewritten-079,candidate-v1-single-vague-ambiguous-010,vague_ambiguous,family/household,ordinal_categories,obvious,Are childcare options in your area good?,How satisfied or dissatisfied are you with the availability of childcare options within 30 minutes of your home?,False,
gold-200-rewritten-080,candidate-v1-single-vague-ambiguous-011,vague_ambiguous,media/culture,ordinal_categories,realistic,How relevant is local news for you?,How relevant or irrelevant are local news stories to decisions you make about activities in your area?,False,
gold-200-rewritten-081,candidate-v1-single-sensitive-topic-direct-001,sensitive_topic_direct,finances,binary_yes_no,borderline,Have you been late paying rent or a mortgage in the last 12 months?,"People have different experiences, and you may skip this question. In the last 12 months, were you late paying rent or a mortgage?",False,
gold-200-rewritten-082,candidate-v1-single-sensitive-topic-direct-002,sensitive_topic_direct,sensitive behaviors,binary_yes_no,obvious,Did you use unauthorized help to complete an assignment this semester?,"People have different experiences, and you may skip this question. This semester, did you use help that was not allowed for an assignment?",False,
gold-200-rewritten-083,candidate-v1-single-sensitive-topic-direct-003,sensitive_topic_direct,sensitive behaviors,binary_yes_no,realistic,Have you used illegal drugs in the past 12 months?,"People have different experiences, and you may skip this question. During the past 12 months, did you use any drugs that were not legally available to you?",False,
gold-200-rewritten-084,candidate-v1-single-sensitive-topic-direct-007,sensitive_topic_direct,labor,binary_yes_no,borderline,Were you formally disciplined by your employer in the last year?,"People have different employment experiences, and you may skip this question. During the last year, were you formally disciplined by an employer?",False,
gold-200-rewritten-085,candidate-v1-single-sensitive-topic-direct-006,sensitive_topic_direct,family/household,binary_yes_no,obvious,Did someone in your household shout at or threaten you in the last 6 months?,"People have different household experiences, and you may skip this question. In the last 6 months, did someone in your household shout at or threaten you?",False,
gold-200-rewritten-086,candidate-v1-single-sensitive-topic-direct-005,sensitive_topic_direct,health,binary_yes_no,realistic,Did you avoid medical care because you were embarrassed about your symptoms?,"People have different experiences, and you may skip this question. In the last 12 months, did embarrassment about symptoms lead you to avoid medical care?",False,
gold-200-rewritten-087,candidate-v1-single-sensitive-topic-direct-004,sensitive_topic_direct,sensitive behaviors,binary_yes_no,borderline,Have you looked at someone else’s private messages without permission in the last year?,"People have different experiences, and you may skip this question. In the last year, did you look at someone else’s private messages without their permission?",False,
gold-200-rewritten-088,candidate-v1-single-sensitive-topic-direct-010,sensitive_topic_direct,university life,binary_yes_no,obvious,Are you currently on academic probation or under a formal academic warning?,"People have different academic experiences, and you may skip this question. Are you currently on academic probation or under a formal academic warning?",False,
gold-200-rewritten-089,candidate-v1-single-social-desirability-009,social_desirability,environment,frequency,realistic,"When your household handles waste, how often do you responsibly sort it for recycling, as everyone should?","During a typical week, how often do you sort household waste for recycling?",False,
gold-200-rewritten-090,candidate-v1-single-social-desirability-003,social_desirability,health,frequency,borderline,"In a typical day, how often do you make the healthy choice to eat fruit?","In the past 7 days, on how many days did you eat at least one portion of fruit?",False,
gold-200-rewritten-091,candidate-v1-single-social-desirability-013,social_desirability,politics/public policy,binary_yes_no,obvious,Responsible citizens vote in local elections. Did you vote in the most recent local election?,Did you vote in the most recent local election?,False,
gold-200-rewritten-092,candidate-v1-single-social-desirability-005,social_desirability,work,frequency,realistic,"At work, how often do you honestly report mistakes instead of hiding them?","In the last 3 months, how often did you report a work mistake to the person responsible for handling it?",False,
gold-200-rewritten-093,candidate-v1-single-social-desirability-004,social_desirability,education,frequency,borderline,"Before class, how often do you come prepared like a serious student?","During the last 2 weeks of classes, how often did you complete the assigned preparation before class?",False,
gold-200-rewritten-094,candidate-v1-single-social-desirability-007,social_desirability,finances,binary_yes_no,obvious,Do you pay your bills on time like a financially responsible person?,"During the last 6 months, were any household bills paid after their due date?",False,
gold-200-rewritten-095,candidate-v1-single-social-desirability-008,social_desirability,technology,categorical_closed_ended,realistic,"Do you use strong passwords, as careful internet users should?","For your most important online account, which statement best describes your password?",False,
gold-200-rewritten-096,candidate-v1-single-social-desirability-010,social_desirability,family/household,frequency,borderline,"In your family, how often do you do the right thing and check on older relatives who might need help?","In the past 30 days, how often did you contact an older relative to ask whether they needed help?",False,
gold-200-rewritten-097,candidate-v1-single-negative-wording-003,negative_wording,health,ordinal_categories,obvious,How difficult was it for you not to understand the medication instructions you received?,How easy or difficult was it for you to understand the medication instructions you received?,False,
gold-200-rewritten-098,candidate-v1-single-negative-wording-011,negative_wording,technology,ordinal_categories,realistic,How unconcerned are you about apps not sharing your data without permission?,How concerned are you about apps sharing your data without your permission?,False,
gold-200-rewritten-099,candidate-v1-single-negative-wording-007,negative_wording,labor,frequency,borderline,How often are you not unable to avoid checking work messages after hours?,How often do you check work messages after your scheduled work hours?,False,
gold-200-rewritten-100,candidate-v1-single-negative-wording-005,negative_wording,education,likert_agreement,obvious,To what extent do you disagree that exam instructions were not unclear?,How clear or unclear were the exam instructions?,False,
gold-200-rewritten-101,candidate-v1-single-negative-wording-023,negative_wording,public services,ordinal_categories,realistic,How hard was it not to find information about permit requirements on the city website?,How easy or difficult was it to find information about permit requirements on the city website?,False,
gold-200-rewritten-102,candidate-v1-single-negative-wording-013,negative_wording,environment,binary_yes_no,borderline,Do you oppose not reducing single-use plastic packaging in supermarkets?,To what extent do you support or oppose reducing single-use plastic packaging in supermarkets?,False,
gold-200-rewritten-103,candidate-v1-single-negative-wording-021,negative_wording,university life,ordinal_categories,obvious,How dissatisfied are you with feedback not arriving late?,How satisfied or dissatisfied are you with the timing of feedback on assignments?,False,
gold-200-rewritten-104,candidate-v1-single-negative-wording-017,negative_wording,family/household,ordinal_categories,realistic,How easy was it not to be unable to arrange childcare when needed?,How easy or difficult was it to arrange childcare when needed?,False,
gold-200-rewritten-105,candidate-v1-single-open-closed-mismatch-004,open_closed_mismatch,health,open_ended,borderline,Please describe in your own words the main reason you postponed a medical appointment.,What was the main reason you postponed a medical appointment?,False,
gold-200-rewritten-106,candidate-v1-single-open-closed-mismatch-003,open_closed_mismatch,mobility,open_ended,obvious,What are all the reasons you do not cycle more often?,Which of the following are reasons you do not cycle more often? Select all that apply.,False,
gold-200-rewritten-107,candidate-v1-single-open-closed-mismatch-001,open_closed_mismatch,public services,open_ended,realistic,Tell us what happened when you last had a problem with the municipal online portal.,"What type of problem, if any, did you last have with the municipal online portal?",False,
gold-200-rewritten-108,candidate-v1-single-open-closed-mismatch-002,open_closed_mismatch,education,open_ended,borderline,What specific change would most improve lectures in your program?,Which change would most improve lectures in your program?,False,
gold-200-rewritten-109,candidate-v1-single-open-closed-mismatch-005,open_closed_mismatch,work,open_ended,obvious,"In your own words, describe the biggest challenge you face when working remotely.",What is the biggest challenge you face when working remotely?,False,
gold-200-rewritten-110,candidate-v1-single-open-closed-mismatch-007,open_closed_mismatch,technology,open_ended,realistic,Which privacy improvement would you most like app developers to make? Please explain.,Which privacy improvement would you most like app developers to make?,False,
gold-200-rewritten-111,candidate-v1-single-open-closed-mismatch-006,open_closed_mismatch,environment,open_ended,borderline,Please explain why your household does not reduce energy use more.,What is the main reason your household does not reduce energy use more?,False,
gold-200-rewritten-112,candidate-v1-single-open-closed-mismatch-014,open_closed_mismatch,media/culture,open_ended,obvious,Why do you not attend local cultural events more often? Write your answer below.,What is the main reason you do not attend local cultural events more often?,False,
gold-200-rewritten-113,candidate-v1-single-agree-disagree-scale-001,agree_disagree_scale,politics/public policy,likert_agreement,realistic,Please indicate how much you agree or disagree that citizen assemblies should be used before major local policy decisions.,To what extent do you support or oppose using citizen assemblies before major local policy decisions?,False,
gold-200-rewritten-114,candidate-v1-single-agree-disagree-scale-003,agree_disagree_scale,public services,likert_agreement,borderline,Please indicate whether you agree that transparent waiting lists for specialist appointments are important.,How important or unimportant is it to you that waiting lists for specialist appointments are transparent?,False,
gold-200-rewritten-115,candidate-v1-single-agree-disagree-scale-013,agree_disagree_scale,environment,likert_agreement,obvious,Do you agree or disagree that drinking-water quality in your area is concerning?,How concerned are you about drinking-water quality in your area?,False,
gold-200-rewritten-116,candidate-v1-single-agree-disagree-scale-007,agree_disagree_scale,work,likert_agreement,realistic,How strongly do you agree that your workload is predictable?,How predictable or unpredictable is your workload from week to week?,False,
gold-200-rewritten-117,candidate-v1-single-agree-disagree-scale-011,agree_disagree_scale,public services,likert_agreement,borderline,Please indicate whether you agree or disagree that automated decision systems used by public offices can be trusted.,How much do you trust or distrust automated decision systems used by public offices?,False,
gold-200-rewritten-118,candidate-v1-single-agree-disagree-scale-021,agree_disagree_scale,university life,likert_agreement,obvious,Please state your level of agreement or disagreement with the statement: course registration works well.,How satisfied or dissatisfied are you with the course registration process?,False,
gold-200-rewritten-119,candidate-v1-single-agree-disagree-scale-017,agree_disagree_scale,family/household,likert_agreement,realistic,Do you agree that household tasks are divided fairly in your household?,How fair or unfair is the division of household tasks in your household?,False,
gold-200-rewritten-120,candidate-v1-single-agree-disagree-scale-019,agree_disagree_scale,media/culture,likert_agreement,borderline,Please indicate your agreement with the statement: public broadcasters provide reliable information about local events.,How reliable or unreliable do you find information about local events from public broadcasters?,False,
gold-200-rewritten-121,candidate-v1-single-unbalanced-scale-005,unbalanced_scale,education,support_oppose,obvious,Would you favor reducing class sizes in public schools?,To what extent do you support or oppose reducing class sizes in public schools?,False,
gold-200-rewritten-122,candidate-v1-single-unbalanced-scale-013,unbalanced_scale,politics/public policy,support_oppose,realistic,What is your opinion of introducing low-emission zones in city centers?,To what extent do you support or oppose introducing low-emission zones in city centers?,False,
gold-200-rewritten-123,candidate-v1-single-unbalanced-scale-003,unbalanced_scale,health,support_oppose,borderline,What level of support do you have for expanding evening clinic hours at public clinics?,To what extent do you support or oppose expanding evening clinic hours at public clinics?,False,
gold-200-rewritten-124,candidate-v1-single-unbalanced-scale-011,unbalanced_scale,mobility,ordinal_categories,obvious,How acceptable is the use of facial recognition in public transport stations?,How acceptable or unacceptable is the use of facial recognition in public transport stations?,False,
gold-200-rewritten-125,candidate-v1-single-unbalanced-scale-023,unbalanced_scale,public services,support_oppose,realistic,Would you support service offices moving to appointment-only visits?,To what extent do you support or oppose service offices moving to appointment-only visits?,False,
gold-200-rewritten-126,candidate-v1-single-unbalanced-scale-015,unbalanced_scale,mobility,support_oppose,borderline,What do you think about reducing car parking near train stations?,To what extent do you support or oppose reducing car parking near train stations?,False,
gold-200-rewritten-127,candidate-v1-single-unbalanced-scale-007,unbalanced_scale,labor,support_oppose,obvious,How favorable are you toward mandatory recording of working time?,To what extent do you support or oppose mandatory recording of working time?,False,
gold-200-rewritten-128,candidate-v1-single-unbalanced-scale-001,unbalanced_scale,politics/public policy,support_oppose,realistic,How good would it be to publish council members’ attendance records?,To what extent do you support or oppose publishing council members’ attendance records?,False,
gold-200-rewritten-129,candidate-v1-single-incomplete-options-001,incomplete_options,family/household,categorical_closed_ended,borderline,Which age group includes your current age?,Which age group includes your current age?,False,
