id,is_flawed,known_errors,topic,target_concept,question,response_options,expected_revision_question,expected_revision_response_options,revision_notes,difficulty,item_format,source_seed_id,benchmark_version,v3_cleanup_replacement,v3_cleanup_reason
gold-200-rewritten-011,False,,labor,time until receiving responses from job applications,"For your most recent job search, how long did employers usually take to respond after you submitted an application?","[""Less than one week"", ""1-2 weeks"", ""3-4 weeks"", ""More than 4 weeks"", ""I did not receive responses"", ""Not applicable""]","For your most recent job search, how long did employers usually take to respond after you submitted an application?","[""Less than one week"", ""1-2 weeks"", ""3-4 weeks"", ""More than 4 weeks"", ""I did not receive responses"", ""Not applicable""]","[""Clean control; no revision expected.""]",realistic,categorical_closed_ended,candidate-v1-clean-0006,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-012,False,,family/household,weekly unpaid caregiving time,"In the past 7 days, about how many hours did you spend providing unpaid care to a child, older adult, or person with a disability?","[""0 hours"", ""1-5 hours"", ""6-10 hours"", ""11-20 hours"", ""More than 20 hours"", ""Prefer not to say""]","In the past 7 days, about how many hours did you spend providing unpaid care to a child, older adult, or person with a disability?","[""0 hours"", ""1-5 hours"", ""6-10 hours"", ""11-20 hours"", ""More than 20 hours"", ""Prefer not to say""]","[""Clean control; no revision expected.""]",borderline,numeric_ranges,candidate-v1-clean-0008,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-013,False,,media/culture,frequency of local news video consumption,"In the past 7 days, how often did you watch local news videos online?","[""Not at all"", ""Once"", ""2-3 times"", ""4-6 times"", ""Daily""]","In the past 7 days, how often did you watch local news videos online?","[""Not at all"", ""Once"", ""2-3 times"", ""4-6 times"", ""Daily""]","[""Clean control; no revision expected.""]",obvious,frequency,candidate-v1-clean-0018,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-014,False,,sensitive behaviors,driving after consuming alcohol,"You may skip this item. In the last year, did you drive after drinking alcohol?","[""Yes"", ""No"", ""Prefer not to answer""]","You may skip this item. In the last year, did you drive after drinking alcohol?","[""Yes"", ""No"", ""Prefer not to answer""]","[""Clean control; no revision expected.""]",realistic,binary_yes_no,candidate-v1-clean-0011,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-015,False,,education,support for additional tutoring in public schools,What is your view on increasing tutoring support in public schools?,"[""Strongly oppose"", ""Somewhat oppose"", ""Neither support nor oppose"", ""Somewhat support"", ""Strongly support""]",What is your view on increasing tutoring support in public schools?,"[""Strongly oppose"", ""Somewhat oppose"", ""Neither support nor oppose"", ""Somewhat support"", ""Strongly support""]","[""Clean control; no revision expected.""]",borderline,support_oppose,candidate-v1-clean-0037,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-016,False,,public services,preferred channel for renewing official documents,Which channel would you prefer for renewing official documents such as residence certificates or permits?,"[""Online portal"", ""Phone appointment"", ""In-person office visit"", ""Postal mail"", ""No preference"", ""Other""]",Which channel would you prefer for renewing official documents such as residence certificates or permits?,"[""Online portal"", ""Phone appointment"", ""In-person office visit"", ""Postal mail"", ""No preference"", ""Other""]","[""Clean control; no revision expected.""]",obvious,categorical_closed_ended,candidate-v1-clean-0036,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-017,False,,environment,concern about summer heat in local neighborhoods,Please rate your concern about the effects of summer heat in your local neighborhood.,"[""Not at all concerned"", ""Slightly concerned"", ""Moderately concerned"", ""Very concerned"", ""Extremely concerned""]",Please rate your concern about the effects of summer heat in your local neighborhood.,"[""Not at all concerned"", ""Slightly concerned"", ""Moderately concerned"", ""Very concerned"", ""Extremely concerned""]","[""Clean control; no revision expected.""]",realistic,ordinal_categories,candidate-v1-clean-0105,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-018,False,,health,main reason for missing preventive health appointments,"What is the main reason you have missed or postponed a preventive health appointment, if this has happened to you?",[],"What is the main reason you have missed or postponed a preventive health appointment, if this has happened to you?",[],"[""Clean control; no revision expected.""]",borderline,open_ended,candidate-v1-clean-0044,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-019,False,,technology,use of two-factor authentication,Do you currently use two-factor authentication for at least one important online account?,"[""Yes"", ""No"", ""Not sure""]",Do you currently use two-factor authentication for at least one important online account?,"[""Yes"", ""No"", ""Not sure""]","[""Clean control; no revision expected.""]",obvious,binary_yes_no,candidate-v1-clean-0020,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-020,False,,mobility,main transport mode for commuting,"Which mode of transport do you use most often for travel to work, university, or training?","[""Walking"", ""Bicycle"", ""Public transport"", ""Car as driver"", ""Car as passenger"", ""Work or study from home"", ""Other""]","Which mode of transport do you use most often for travel to work, university, or training?","[""Walking"", ""Bicycle"", ""Public transport"", ""Car as driver"", ""Car as passenger"", ""Work or study from home"", ""Other""]","[""Clean control; no revision expected.""]",realistic,categorical_closed_ended,candidate-v1-clean-0027,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-021,False,,work,satisfaction with communication from supervisor,How satisfied or dissatisfied are you with how clearly your supervisor communicates work priorities?,"[""Very dissatisfied"", ""Somewhat dissatisfied"", ""Neither satisfied nor dissatisfied"", ""Somewhat satisfied"", ""Very satisfied"", ""Not applicable""]",How satisfied or dissatisfied are you with how clearly your supervisor communicates work priorities?,"[""Very dissatisfied"", ""Somewhat dissatisfied"", ""Neither satisfied nor dissatisfied"", ""Somewhat satisfied"", ""Very satisfied"", ""Not applicable""]","[""Clean control; no revision expected.""]",borderline,ordinal_categories,candidate-v1-clean-0069,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-022,False,,finances,ability to cover unexpected expense,Could your household cover an unexpected expense of 500 euros within one month?,"[""Yes, without borrowing"", ""Yes, by borrowing or using credit"", ""No"", ""Not sure"", ""Prefer not to say""]",Could your household cover an unexpected expense of 500 euros within one month?,"[""Yes, without borrowing"", ""Yes, by borrowing or using credit"", ""No"", ""Not sure"", ""Prefer not to say""]","[""Clean control; no revision expected.""]",obvious,categorical_closed_ended,candidate-v1-clean-0009,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-023,False,,family/household,division of household tasks,How fair or unfair do you consider the current division of routine household tasks in your household?,"[""Very unfair"", ""Somewhat unfair"", ""Neither fair nor unfair"", ""Somewhat fair"", ""Very fair"", ""Not applicable""]",How fair or unfair do you consider the current division of routine household tasks in your household?,"[""Very unfair"", ""Somewhat unfair"", ""Neither fair nor unfair"", ""Somewhat fair"", ""Very fair"", ""Not applicable""]","[""Clean control; no revision expected.""]",realistic,ordinal_categories,candidate-v1-clean-0042,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-024,False,,media/culture,attendance at local cultural events,"During the last 3 months, how many times did you attend a cultural event such as a concert, exhibition, or theater performance?","[""0 times"", ""1 time"", ""2-3 times"", ""4 or more times""]","During the last 3 months, how many times did you attend a cultural event such as a concert, exhibition, or theater performance?","[""0 times"", ""1 time"", ""2-3 times"", ""4 or more times""]","[""Clean control; no revision expected.""]",borderline,numeric_ranges,candidate-v1-clean-0019,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-025,False,,politics/public policy,perceived usefulness of public consultation processes,How useful do you find public consultation processes for informing local policy decisions?,"[""Not at all useful"", ""Slightly useful"", ""Moderately useful"", ""Very useful"", ""Extremely useful"", ""I am not familiar with them""]",How useful do you find public consultation processes for informing local policy decisions?,"[""Not at all useful"", ""Slightly useful"", ""Moderately useful"", ""Very useful"", ""Extremely useful"", ""I am not familiar with them""]","[""Clean control; no revision expected.""]",obvious,ordinal_categories,candidate-v1-clean-0029,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-026,False,,sensitive behaviors,use of non-prescribed medication,"This question is optional. In the past year, did you use prescription medication that was not prescribed to you?","[""Yes"", ""No"", ""Prefer not to answer""]","This question is optional. In the past year, did you use prescription medication that was not prescribed to you?","[""Yes"", ""No"", ""Prefer not to answer""]","[""Clean control; no revision expected.""]",realistic,binary_yes_no,candidate-v1-clean-0083,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-027,False,,university life,feedback timing after assignments,"For courses this semester, how often did you receive feedback on assignments before the next related deadline?","[""Never"", ""Rarely"", ""Sometimes"", ""Often"", ""Always"", ""Not applicable""]","For courses this semester, how often did you receive feedback on assignments before the next related deadline?","[""Never"", ""Rarely"", ""Sometimes"", ""Often"", ""Always"", ""Not applicable""]","[""Clean control; no revision expected.""]",borderline,frequency,candidate-v1-clean-0022,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-028,False,,labor,perceived fairness of promotion criteria,How fair or unfair do you consider the promotion criteria used in your current or most recent workplace?,"[""Very unfair"", ""Somewhat unfair"", ""Neither fair nor unfair"", ""Somewhat fair"", ""Very fair"", ""Not applicable""]",How fair or unfair do you consider the promotion criteria used in your current or most recent workplace?,"[""Very unfair"", ""Somewhat unfair"", ""Neither fair nor unfair"", ""Somewhat fair"", ""Very fair"", ""Not applicable""]","[""Clean control; no revision expected.""]",obvious,ordinal_categories,candidate-v1-clean-0150,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-029,False,,health,preferred source for information about vaccination appointments,Where would you first look for information about vaccination appointments?,"[""Doctor or clinic"", ""Public health website"", ""Pharmacy"", ""Family or friends"", ""Social media"", ""Other""]",Where would you first look for information about vaccination appointments?,"[""Doctor or clinic"", ""Public health website"", ""Pharmacy"", ""Family or friends"", ""Social media"", ""Other""]","[""Clean control; no revision expected.""]",realistic,categorical_closed_ended,candidate-v1-clean-0004,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-030,False,,technology,frequency of checking app permissions,"In the last 6 months, how often did you review permissions granted to apps on your phone?","[""Never"", ""Once"", ""2-3 times"", ""4 or more times"", ""I do not use smartphone apps""]","In the last 6 months, how often did you review permissions granted to apps on your phone?","[""Never"", ""Once"", ""2-3 times"", ""4 or more times"", ""I do not use smartphone apps""]","[""Clean control; no revision expected.""]",borderline,frequency,candidate-v1-clean-0016,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-031,False,,education,importance of class-size reductions,How important or unimportant do you think reducing class sizes is for improving classroom learning?,"[""Very unimportant"", ""Somewhat unimportant"", ""Neither important nor unimportant"", ""Somewhat important"", ""Very important""]",How important or unimportant do you think reducing class sizes is for improving classroom learning?,"[""Very unimportant"", ""Somewhat unimportant"", ""Neither important nor unimportant"", ""Somewhat important"", ""Very important""]","[""Clean control; no revision expected.""]",obvious,ordinal_categories,candidate-v1-clean-0096,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-032,False,,environment,support for separate food-waste collection,Do you support or oppose introducing separate food-waste collection in your municipality?,"[""Strongly oppose"", ""Somewhat oppose"", ""Neither support nor oppose"", ""Somewhat support"", ""Strongly support""]",Do you support or oppose introducing separate food-waste collection in your municipality?,"[""Strongly oppose"", ""Somewhat oppose"", ""Neither support nor oppose"", ""Somewhat support"", ""Strongly support""]","[""Clean control; no revision expected.""]",realistic,support_oppose,candidate-v1-clean-0046,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-033,False,,public services,recent use of municipal service portal,"In the past 12 months, have you used a municipal online portal to request a service or submit a document?","[""Yes"", ""No"", ""Not sure""]","In the past 12 months, have you used a municipal online portal to request a service or submit a document?","[""Yes"", ""No"", ""Not sure""]","[""Clean control; no revision expected.""]",borderline,binary_yes_no,candidate-v1-clean-0017,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-034,False,,work,main factor when choosing remote-work days,What is the main factor you consider when deciding whether to work remotely on a given day?,[],What is the main factor you consider when deciding whether to work remotely on a given day?,[],"[""Clean control; no revision expected.""]",obvious,open_ended,candidate-v1-clean-0053,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-035,False,,family/household,housing crowding relative to household needs,How well does your current home meet your household’s need for space?,"[""Very poorly"", ""Somewhat poorly"", ""Neither poorly nor well"", ""Somewhat well"", ""Very well""]",How well does your current home meet your household’s need for space?,"[""Very poorly"", ""Somewhat poorly"", ""Neither poorly nor well"", ""Somewhat well"", ""Very well""]","[""Clean control; no revision expected.""]",realistic,ordinal_categories,candidate-v1-clean-0186,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-036,False,,media/culture,trust in information from public broadcasters,How much do you trust public broadcasters for information about local events?,"[""Do not trust at all"", ""Trust a little"", ""Trust somewhat"", ""Trust a lot"", ""Trust completely""]",How much do you trust public broadcasters for information about local events?,"[""Do not trust at all"", ""Trust a little"", ""Trust somewhat"", ""Trust a lot"", ""Trust completely""]","[""Clean control; no revision expected.""]",borderline,ordinal_categories,candidate-v1-clean-0123,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-037,False,,politics/public policy,participation in a public consultation,"In the previous year, did you participate in any public consultation, such as an online survey, town hall, or written comment process?","[""Yes"", ""No"", ""Not sure""]","In the previous year, did you participate in any public consultation, such as an online survey, town hall, or written comment process?","[""Yes"", ""No"", ""Not sure""]","[""Clean control; no revision expected.""]",obvious,binary_yes_no,candidate-v1-clean-0173,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-038,False,,university life,reasons for using academic advising,What is the main reason you last contacted an academic advising service?,[],What is the main reason you last contacted an academic advising service?,[],"[""Clean control; no revision expected.""]",realistic,open_ended,candidate-v1-clean-0026,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-039,False,,finances,preferred method for receiving utility bills,How would you prefer to receive utility bills?,"[""Email"", ""Postal mail"", ""App notification"", ""Online customer portal"", ""No preference"", ""Other""]",How would you prefer to receive utility bills?,"[""Email"", ""Postal mail"", ""App notification"", ""Online customer portal"", ""No preference"", ""Other""]","[""Clean control; no revision expected.""]",borderline,categorical_closed_ended,candidate-v1-clean-0045,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-040,False,,sensitive behaviors,frequency of gambling with money,"Some people prefer not to answer questions about gambling. During the last 12 months, how often did you gamble with money?","[""Never"", ""Once"", ""A few times"", ""Monthly or more often"", ""Prefer not to answer""]","Some people prefer not to answer questions about gambling. During the last 12 months, how often did you gamble with money?","[""Never"", ""Once"", ""A few times"", ""Monthly or more often"", ""Prefer not to answer""]","[""Clean control; no revision expected.""]",obvious,frequency,candidate-v1-clean-0014,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-041,True,leading_question,environment,support for protected bike lanes near schools,"Because safer routes clearly help children get to school, should the city add protected bike lanes near school entrances?","[""Yes"", ""No""]",To what extent do you support or oppose adding protected bike lanes near school entrances?,"[""Strongly oppose"", ""Somewhat oppose"", ""Neither support nor oppose"", ""Somewhat support"", ""Strongly support""]","[""Remove the persuasive justification and ask for support or opposition neutrally.""]",realistic,binary_yes_no,candidate-v1-single-leading-question-013,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-042,True,leading_question,public services,support for evening hours at municipal service offices,Most busy residents would benefit from evening service-office hours; do you think the municipality should offer them?,"[""Yes"", ""No""]",To what extent do you support or oppose offering evening hours at municipal service offices?,"[""Strongly oppose"", ""Somewhat oppose"", ""Neither support nor oppose"", ""Somewhat support"", ""Strongly support""]","[""Remove the claim about what most residents need and use a balanced support-oppose scale.""]",borderline,binary_yes_no,candidate-v1-single-leading-question-023,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-043,True,leading_question,technology,support for default privacy protections in student apps,Wouldn’t you agree that student apps should have privacy-protective settings turned on by default?,"[""Yes"", ""No""]",To what extent do you support or oppose privacy-protective default settings in student apps?,"[""Strongly oppose"", ""Somewhat oppose"", ""Neither support nor oppose"", ""Somewhat support"", ""Strongly support""]","[""Replace the agreement cue with a neutral request about support or opposition.""]",obvious,binary_yes_no,candidate-v1-single-leading-question-011,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-044,True,leading_question,health,support for free mental-health drop-in hours,"Given the importance of mental health, should universities provide free drop-in counseling hours every week?","[""Yes"", ""No""]",To what extent do you support or oppose universities providing free weekly drop-in counseling hours?,"[""Strongly oppose"", ""Somewhat oppose"", ""Neither support nor oppose"", ""Somewhat support"", ""Strongly support""]","[""Remove the value-laden preface so the item does not steer respondents toward support.""]",realistic,binary_yes_no,candidate-v1-single-leading-question-003,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-045,True,leading_question,labor,support for advance notice of shift changes,Isn’t it only fair that employers give workers at least two weeks’ notice before changing shifts?,"[""Yes"", ""No""]",To what extent do you support or oppose requiring employers to give at least two weeks’ notice before changing shifts?,"[""Strongly oppose"", ""Somewhat oppose"", ""Neither support nor oppose"", ""Somewhat support"", ""Strongly support""]","[""Remove the fairness cue and ask the policy preference directly.""]",borderline,binary_yes_no,candidate-v1-single-leading-question-007,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-046,True,leading_question,media/culture,support for public funding of local arts venues,"Since local arts venues bring communities together, should public funds be used to support them?","[""Yes"", ""No""]",To what extent do you support or oppose using public funds to support local arts venues?,"[""Strongly oppose"", ""Somewhat oppose"", ""Neither support nor oppose"", ""Somewhat support"", ""Strongly support""]","[""Remove the one-sided rationale and present the funding proposal neutrally.""]",obvious,binary_yes_no,candidate-v1-single-leading-question-019,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-047,True,leading_question,finances,support for automatic reminders before bank overdraft fees,Don’t you think banks should obviously warn customers before charging overdraft fees?,"[""Yes"", ""No""]",To what extent do you support or oppose requiring banks to send reminders before charging overdraft fees?,"[""Strongly oppose"", ""Somewhat oppose"", ""Neither support nor oppose"", ""Somewhat support"", ""Strongly support""]","[""Avoid wording that implies the preferred answer is obvious.""]",realistic,binary_yes_no,candidate-v1-single-leading-question-009,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-048,True,leading_question,university life,support for longer library opening hours during exams,Students clearly need more study time during exams; should the library stay open later?,"[""Yes"", ""No""]",To what extent do you support or oppose extending library opening hours during exam periods?,"[""Strongly oppose"", ""Somewhat oppose"", ""Neither support nor oppose"", ""Somewhat support"", ""Strongly support""]","[""Remove the leading justification and use a balanced answer scale.""]",borderline,binary_yes_no,candidate-v1-single-leading-question-021,final_gold_200_unique_v3_pure_loaded,,
gold-200-rewritten-049,True,loaded_question,finances,effect of account fees on monthly available money,How much did the bank's hidden account fees reduce the money you had available for monthly expenses?,"[""Not at all"", ""Slightly"", ""Moderately"", ""A great deal"", ""I did not have account fees"", ""Not sure""]","During the last 12 months, how much did account fees, if any, affect the money you had available for monthly expenses?","[""Not at all"", ""Slightly"", ""Moderately"", ""A great deal"", ""I did not have account fees"", ""Not sure""]","[""Remove the presupposition that the fees were hidden and ask neutrally about the effect, if any."", ""Keep a no-applicable-fees option so the flaw is not incomplete response coverage.""]",obvious,ordinal_categories,candidate-v1-single-loaded-question-001,final_gold_200_unique_v3_pure_loaded,True,"loaded_question purity: remove incomplete-options contamination by making the loaded premise stem-based and adding neutral, no-event, open, or balanced response paths."
gold-200-rewritten-050,True,loaded_question,university life,effect of course registration portal on semester planning,In what ways did the confusing course registration portal make it harder for you to plan this semester?,[],"In what ways, if any, did the course registration portal affect your ability to plan this semester?",[],"[""Remove the presuppositions that the portal was confusing and that it made planning harder."", ""Use an open-ended response so no closed option coverage problem is introduced.""]",realistic,open_ended,candidate-v1-single-loaded-question-002,final_gold_200_unique_v3_pure_loaded,True,"loaded_question purity: remove incomplete-options contamination by making the loaded premise stem-based and adding neutral, no-event, open, or balanced response paths."
gold-200-rewritten-051,True,loaded_question,technology,frequency of campus app login problems preventing service access,"During the last month, how often did the campus app's recurring login problems prevent you from accessing university services?","[""Never"", ""Once"", ""2-3 times"", ""4 or more times"", ""I did not use the campus app this month""]","During the last month, how often, if at all, did login problems with the campus app prevent you from accessing university services?","[""Never"", ""Once"", ""2-3 times"", ""4 or more times"", ""I did not use the campus app this month""]","[""Remove the presupposition that login problems were recurring."", ""Retain never and non-user options to avoid incomplete response alternatives.""]",borderline,frequency,candidate-v1-single-loaded-question-004,final_gold_200_unique_v3_pure_loaded,True,"loaded_question purity: remove incomplete-options contamination by making the loaded premise stem-based and adding neutral, no-event, open, or balanced response paths."
gold-200-rewritten-052,True,loaded_question,labor,extra time attributed to shift-scheduling system,"Last month, how much extra time did the poorly organized shift-scheduling system create for you?","[""No extra time"", ""Less than 30 minutes"", ""30 minutes to 2 hours"", ""More than 2 hours"", ""Not applicable""]","Last month, how much extra time, if any, did the shift-scheduling system create for you?","[""No extra time"", ""Less than 30 minutes"", ""30 minutes to 2 hours"", ""More than 2 hours"", ""Not applicable""]","[""Remove the presupposition that the scheduling system was poorly organized."", ""Include a no-extra-time option so respondents are not forced to report a burden.""]",obvious,numeric_ranges,candidate-v1-single-loaded-question-007,final_gold_200_unique_v3_pure_loaded,True,"loaded_question purity: remove incomplete-options contamination by making the loaded premise stem-based and adding neutral, no-event, open, or balanced response paths."
gold-200-rewritten-053,True,loaded_question,family/household,household task affected by building maintenance service,"Which household task, if any, was most affected by your building's unreliable maintenance service this winter?","[""No household task was affected"", ""Cleaning"", ""Laundry"", ""Cooking"", ""Childcare or care work"", ""Another household task"", ""Not applicable""]","This winter, did building maintenance service affect any household task? If yes, which task was most affected?","[""No household task was affected"", ""Cleaning"", ""Laundry"", ""Cooking"", ""Childcare or care work"", ""Another household task"", ""Not applicable""]","[""Remove the presupposition that the maintenance service was unreliable."", ""Ask first whether a task was affected and include no-event and not-applicable options.""]",realistic,categorical_closed_ended,candidate-v1-single-loaded-question-006,final_gold_200_unique_v3_pure_loaded,True,"loaded_question purity: remove incomplete-options contamination by making the loaded premise stem-based and adding neutral, no-event, open, or balanced response paths."
gold-200-rewritten-054,True,loaded_question,mobility,effect of roadworks on usual commute,What effect did the city's poorly timed roadworks have on your usual commute last week?,"[""Made it easier"", ""No effect"", ""Made it slightly harder"", ""Made it moderately harder"", ""Made it much harder"", ""I did not make this commute last week""]","Last week, what effect, if any, did the city's roadworks have on your usual commute?","[""Made it easier"", ""No effect"", ""Made it slightly harder"", ""Made it moderately harder"", ""Made it much harder"", ""I did not make this commute last week""]","[""Remove the presupposition that the roadworks were poorly timed."", ""Use balanced effect categories so the item is not also incomplete or unbalanced.""]",borderline,ordinal_categories,candidate-v1-single-loaded-question-003,final_gold_200_unique_v3_pure_loaded,True,"loaded_question purity: remove incomplete-options contamination by making the loaded premise stem-based and adding neutral, no-event, open, or balanced response paths."
